year,country_index,population,gdp,temperature_change_from_co2,cement_co2_lag_1,coal_co2_lag_1,flaring_co2_lag_1,gas_co2_lag_1,land_use_change_co2_lag_1,oil_co2_lag_1,co2_including_luc
1938,France,0.028938045180527266,0.028648033089549975,0.026490066225165563,0.0044757672515938545,0.0404831517433737,0.0,0.0,0.07450380662901109,0.006739802661936869,0.044419872893346174
1939,France,0.028924130100382993,0.030714697965853185,0.026490066225165563,0.0,0.03715109184335384,0.0,0.0,0.07438485581578132,0.007747049851012179,0.04327936282282417
1940,France,0.02894154763628993,0.025311835559197013,0.026490066225165563,0.0,0.03609490326323742,0.0,0.0,0.0738132423515236,0.00695448137860176,0.035840485810283346
1941,France,0.02899036600314066,0.01997081078039624,0.026490066225165563,0.0,0.025961323234477127,0.0,0.0,0.07416197528177743,0.0041141472878195974,0.03360102809234719
1942,France,0.029070652657884527,0.017883012866692045,0.026490066225165563,0.003580188348114286,0.0241051956486906,0.0,0.0,0.07454562210260379,0.0,0.034040288461806595
1943,France,0.02918247657335736,0.016972657999755513,0.026490066225165563,0.0026293005337309906,0.024683337091116805,0.0,3.404663878814394e-06,0.07484563797624474,6.971116998712324e-05,0.034566524509015664
1944,France,0.02929470826229921,0.014306799213403115,0.026490066225165563,0.00307602635256878,0.025179935311762162,0.0,6.553977966717709e-05,0.07533849219897831,8.119766958727422e-05,0.02863013573118859
1945,France,0.029407348482653323,0.015525086071114136,0.026490066225165563,0.0015614131001282744,0.016096428121484724,0.0,9.703292054621024e-05,0.0755629966348693,7.129551475955786e-05,0.03230528967481853
1946,France,0.029520398750306202,0.02371076671329306,0.033112582781456956,0.0016550127955038112,0.021472980449604863,0.0,0.00012512139754642897,0.07576476644434096,0.00036004234953576717,0.04005369387031276
1947,France,0.029633860581144353,0.02571374770821138,0.033112582781456956,0.0022272472967769796,0.03196290435754746,0.0,0.00015916803633457291,0.07587559774813524,0.0028605344866307046,0.04259935908884546
1948,France,0.02974773624899752,0.02759928514635007,0.033112582781456956,0.0040503140907959595,0.0342387756774509,0.0,0.00042132715500328125,0.07619713032178022,0.005256459868744958,0.0443773809591784
1949,France,0.02989700180312426,0.03138215579496325,0.033112582781456956,0.0056585270386120025,0.035189773501470026,0.0,0.0005209135734586023,0.07640539573880024,0.008163336439969374,0.0488805964699029
1950,France,0.030082108219758888,0.03374069642633331,0.033112582781456956,0.006773214319902487,0.03991031061036325,0.0,0.0007081700867933939,0.07695874030682813,0.011589878096552346,0.045674580036944086
1951,France,0.030350650545345095,0.03583219633940256,0.033112582781456956,0.007577320793810508,0.034013920243390214,0.0,0.00038047118845750856,0.07802604982212184,0.012444632101280823,0.04977943366484567
1952,France,0.030612698813157133,0.036786717324404916,0.033112582781456956,0.00854309946882173,0.03811534044091236,0.0,0.0004740994451249044,0.07983751237717719,0.014728861176938435,0.05043274715267525
1953,France,0.030871084699180547,0.0378552377411366,0.033112582781456956,0.009091934046251015,0.03706751004102848,0.0,0.00048005760691282955,0.08254252694560699,0.01596979921994785,0.049587423237325026
1954,France,0.031130562023485346,0.03969849803011624,0.033112582781456956,0.009787549964155573,0.03396845989724739,0.0,0.00044601096812468566,0.08500720403474663,0.01695090472027799,0.0518903532819243
1955,France,0.03140964279203283,0.0419931902467963,0.033112582781456956,0.010242784846209321,0.035091717777278555,0.0,0.0005149554116706771,0.08725630814837429,0.019326233620350592,0.05418319149215872
1956,France,0.031686574033520605,0.044123956665951224,0.033112582781456956,0.011163890939336762,0.03656989253011086,0.0,0.000617095328035109,0.08913881641099007,0.02123774558829296,0.058701544754430485
1957,France,0.03197373144535026,0.04679953399166238,0.039735099337748346,0.012029688121560479,0.04112041202159102,0.0,0.0007575377130362027,0.0909693598132188,0.023861420531444688,0.06070410993938127
1958,France,0.032289241998311624,0.04797446948757808,0.039735099337748346,0.013259247756266393,0.04229667299577973,0.0,0.0009762873672500275,0.09343931458349149,0.0248092547915537,0.05989291235865955
1959,France,0.03262841250779479,0.04935313834855026,0.039735099337748346,0.014101645014646226,0.038904067253587596,0.0,0.0011635438805848192,0.09556419020275632,0.02666412643388153,0.05576296193214012
1960,France,0.03297534132439472,0.0528466613596117,0.039735099337748346,0.014720679363607164,0.03676192681740475,0.0,0.0024198648518673305,0.08466821451581538,0.028437404320428978,0.05994137972106968
1961,France,0.033341773536728216,0.05578695062453591,0.039735099337748346,0.014905751488554247,0.04038203814836545,0.0,0.005301912825283715,0.08354934611560638,0.03358375222748973,0.06242290867646788
1962,France,0.03371480288711802,0.05951494625179181,0.039735099337748346,0.016173601907731976,0.04175889544813505,0.0,0.007603465607362246,0.08319208770044531,0.03735172018253236,0.06448004943936542
1963,France,0.034083205751904,0.06261591810966922,0.039735099337748346,0.017749905868488174,0.042496861605251714,0.0,0.008874256400129718,0.08249665171729653,0.04184809064670181,0.064270245514412
1964,France,0.03447786983444905,0.06679899387425622,0.039735099337748346,0.01906455613535367,0.040802597314700165,0.0,0.008267375063731052,0.07977661605641109,0.04720594858088258,0.06804034237344807
1965,France,0.03487719375210097,0.07005753801279978,0.046357615894039736,0.022644744483467955,0.04156461872224218,0.0,0.009156843502071313,0.07877913432226251,0.0568633221412578,0.06677992537619637
1966,France,0.0352669948707479,0.07362610086740094,0.046357615894039736,0.02351692346310364,0.03759244453124268,0.0,0.008875107566099421,0.07711301098610224,0.06241526231006182,0.06887079411183958
1967,France,0.03564469011979059,0.07703959108193287,0.046357615894039736,0.024499720264546776,0.03687792205038801,0.0,0.009916934713016627,0.07664532724261865,0.06982920367266962,0.07114265192957865
1968,France,0.035997791626226294,0.08044882241514399,0.046357615894039736,0.02563568020387716,0.03604067702075316,0.0,0.011209855820996392,0.07373488908547123,0.08025894530960671,0.07334931118582906
1969,France,0.0363311229409041,0.08604316994793176,0.046357615894039736,0.026695058574263915,0.03454374732691126,0.0,0.01328584962110347,0.07496702464230515,0.08738334766505208,0.07549329483918198
1970,France,0.03666198942412981,0.09097985887556977,0.052980132450331126,0.028960596655512708,0.03411890714143306,0.0,0.015202675384875974,0.07131283942086786,0.09685614505943867,0.0787220178994617
1971,France,0.037000871915177605,0.09539615427195075,0.052980132450331126,0.030498609831797096,0.03129363836478116,0.0,0.016887132838919395,0.0742618452478338,0.1080289443946476,0.08269700555356302
1972,France,0.037334115308438304,0.09965025147051029,0.052980132450331126,0.030190156290218623,0.029026940657328068,0.07579969408791647,0.020322438692643118,0.07302970969099988,0.12169352197070309,0.08586836450271625
1973,France,0.03764010609416767,0.10507262373023046,0.052980132450331126,0.03094108111902691,0.025724236317149315,0.07409722684046019,0.024144173896612275,0.0743755183799305,0.1343896688046079,0.09022591235162183
1974,France,0.03790498906973828,0.10816725472765697,0.052980132450331126,0.03150906108869209,0.024626256835870212,0.07054598656646938,0.027688428994458062,0.07767366311262205,0.14465384641282558,0.08812083537549127
1975,France,0.038122124652271744,0.10740483270457836,0.059602649006622516,0.03290029292450121,0.02471880839259147,0.06694154419099554,0.028827289061921477,0.07854366854863362,0.13666478789782402,0.08227633540530202
1976,France,0.0383004232226263,0.11205812567056689,0.059602649006622516,0.029851921027384296,0.022449868246539408,0.0629247855290284,0.03326611959392574,0.07630268394444144,0.12444790535758067,0.0881067599222982
1977,France,0.03848245693732156,0.11625059881815748,0.059602649006622516,0.029407322474350496,0.02534139089088824,0.06541198377335905,0.03425943028056984,0.07736877553331982,0.13472713424113647,0.0868644019970678
1978,France,0.03867184270155108,0.1194771981826929,0.059602649006622516,0.028596834203030504,0.02517769287316319,0.06646272527764846,0.0363788335451318,0.08026865832820113,0.1276435287635813,0.08931631938584284
1979,France,0.03886396009325704,0.12331532987310997,0.059602649006622516,0.027556601224879653,0.024471120856432153,0.06521247589279776,0.039223430215881226,0.07891188830153259,0.13656140940142264,0.08980152415912115
1980,France,0.03908001636460114,0.12505530754390679,0.06622516556291391,0.02809905400489697,0.025688561157620197,0.050142980647735584,0.04161776008865745,0.07903205704117768,0.13475921722277828,0.087440566066924
1981,France,0.0393096064706343,0.12634336285118986,0.06622516556291391,0.028122453928740854,0.025892419212072314,0.03783999467978985,0.042418707266148534,0.08036609244142687,0.12600808887223566,0.0809715674517627
1982,France,0.03953919051312144,0.12952486743371616,0.06622516556291391,0.027037548368706223,0.02277726428198951,0.025217796102946066,0.04324859408660955,0.0815949801944866,0.11175769981657246,0.07830121496390643
1983,France,0.03974590589184079,0.13103730819994944,0.06622516556291391,0.02482306466675318,0.023386596006746887,0.012582297000731529,0.041614355424778635,0.08111958291703932,0.10462220704772006,0.07667390667257483
1984,France,0.03993812030028287,0.1329705492222139,0.06622516556291391,0.023057434049441914,0.020696688978251204,0.0,0.0454624767738086,0.08309302968533247,0.10198110431207155,0.07541455197367732
1985,France,0.04013679238522308,0.1348355468920806,0.0728476821192053,0.021183312876127187,0.020378670413305898,0.0,0.046611550832908466,0.08382500346094089,0.09794300557332881,0.07467452838268661
1986,France,0.040336537717806646,0.1380428705471016,0.0728476821192053,0.021749165579988388,0.01977484285601873,0.0,0.04826111048219404,0.08433247280065832,0.09554034672593173,0.07329473560788231
1987,France,0.04054110356946629,0.14153674793758944,0.0728476821192053,0.02150240274672561,0.01620753076116113,0.0,0.04822621267743619,0.08614393535571367,0.09665018023902218,0.07167074699890756
1988,France,0.040745702770628965,0.14776557386411815,0.0728476821192053,0.021362003203662303,0.015183347895593691,0.0,0.04627448910890584,0.08222627205309509,0.09855297831071615,0.07252138240602876
1989,France,0.04094160684681669,0.15376743242444715,0.0728476821192053,0.022727707849823545,0.015630408609007183,0.0,0.04650600625266522,0.08570385794431071,0.09646679233161287,0.07530672869072658
