year,country_index,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
2000,Italy,0.08096333609556419,-0.11174443422829966,0.06853051724982968,-0.028089513145075753,0.008693334462966095,0.08184454384711065,-0.023795323271175114,-0.035353660850013666
2001,Italy,0.08261473154274547,-0.11386328220002095,0.06988285914076274,-0.026878166311075615,0.007326440727630317,0.08645673765864513,-0.0044406407088809635,-0.027093808943960008
2002,Italy,0.08066324855703565,-0.11285042479420491,0.07369147023220525,-0.02964717331804727,0.006131251594714904,0.08857595718920253,0.01931446162244106,-0.024922124944337064
2003,Italy,0.08173375312557953,-0.11525952977945077,0.0762349505970307,-0.03292188493459721,0.005949517948126186,0.08901220907991113,0.010325738714640586,-0.029045682956340337
1930,Japan,-0.07780606770884975,0.01369497768265691,0.03583777266823379,-0.011585942047050218,-0.004224553847668438,-0.006059070929593927,0.0008771746910814248,0.006682932609254075
1931,Japan,-0.07887039903737159,0.01249891354824655,0.03497227950039139,-0.011810566158911384,-0.009393019370267605,-0.006544222849592134,0.0028986883364733114,0.0015890694533395827
1932,Japan,-0.07828528031681012,0.012783506961528095,0.03559203625412526,-0.011536842590238013,-0.009342778138495435,-0.004714867928357104,0.002571116283593057,0.0019966601181075345
1933,Japan,-0.07674349122809328,0.014000248916901823,0.03664618734730086,-0.011223116844672412,-0.006831717376570713,-0.0032573760926727095,0.0020802492020560097,0.003936197429058632
1934,Japan,-0.07468076193699733,0.015825623579497364,0.03886398644378123,-0.010478638575347757,-0.0009510937043755693,-0.004304722248221816,-0.00017194229327785175,0.006574964868412741
1935,Japan,-0.07388486688626641,0.016058554230647178,0.038170261448794214,-0.010819686992442788,-0.002975306783967252,-0.004561987682928871,0.0008310055005464821,0.006040226258527847
1936,Japan,-0.0726644526155738,0.016021212894196633,0.04058522434798254,-0.010288921813171842,-0.0006406427803075126,-0.005342827549173838,0.0014569715870564187,0.003600594821068607
1937,Japan,-0.07142197037325533,0.01656401478657404,0.04112081339940005,-0.010327409788264378,3.192878837943063e-08,-0.004966633805622328,0.0012156170871359497,0.00599660978320717
1938,Japan,-0.07027413287047475,0.016933612266772435,0.04121426152503337,-0.010463794817223085,-0.0006035247109716848,-0.0048956997821975184,0.0020027748923541044,0.005949422564865397
1939,Japan,-0.06829646259200306,0.01709021270805769,0.04201107889139219,-0.010686144899828828,-0.0004772230336213249,-0.0037596016254883456,0.0033416937567937693,0.004764438879909546
1940,Japan,-0.0648340216030147,0.016691678915223652,0.039772386479612745,-0.01204223613547626,-0.003287628816253245,-0.005648295863863209,0.005669022573909676,0.004768494649991629
1941,Japan,-0.06156817246588264,0.01908953035524999,0.042260073134854595,-0.011587995836841173,0.004602487246879058,-0.007518568199063588,0.0023808786206661278,0.009409778903517518
1942,Japan,-0.061347342136379164,0.018823593059347107,0.04366472240330952,-0.010969339535543098,0.003844254822795818,-0.00850842851783049,0.004954749126960313,0.004936113041340617
1943,Japan,-0.06288664447859056,0.017916532040092713,0.04046421476300277,-0.011797495476080165,-0.004846100778841327,-0.0075654344656554155,0.006952934641164671,0.0038202541643250413
1944,Japan,-0.06142157564609062,0.0196904691377646,0.041573590567087766,-0.01117982439724944,-0.0014153555047521844,-0.0073235391950666456,0.005279958875593899,0.006111398666125947
1945,Japan,-0.06610340428351395,0.01898298869033885,0.039128515311142656,-0.010598007296075393,-0.009039874643854097,-0.011852880150769518,0.005896237158625624,0.0025170590050055254
1946,Japan,-0.07440417346539599,0.01516624641984254,0.032754993376056175,-0.010880729150229211,-0.030117637525479385,-0.010292553989149357,0.011258497217483024,-0.0076613866539836034
1947,Japan,-0.07340257366459124,0.018018851039520046,0.035428116026252274,-0.00926648203640676,-0.021883905362466257,-0.007039401487672685,0.004686747376675057,-1.938517248840039e-06
