year,country_index,country_t-2,population_t-2,gdp_t-2,temperature_change_from_co2_t-2,total_ghg_t-2,cement_co2_t-2,coal_co2_t-2,flaring_co2_t-2,gas_co2_t-2,land_use_change_co2_t-2,oil_co2_t-2,country_t-1,population_t-1,gdp_t-1,temperature_change_from_co2_t-1,total_ghg_t-1,cement_co2_t-1,coal_co2_t-1,flaring_co2_t-1,gas_co2_t-1,land_use_change_co2_t-1,oil_co2_t-1,co2
1968,Wielka Brytania,41,0.04020260779176205,0.09989223512690158,0.13907284768211922,0.10977815063142227,0.02013851606587165,0.09116451603206163,0.0,0.0014031033344338065,0.05891836923361375,0.0811199747123951,41,0.04014013256809217,0.09257473509236305,0.1437908496732026,0.09700566636136375,0.018477430773452576,0.07511751923964098,0.0,0.0023628974892193335,0.04292644653860517,0.08402068164830505,0.09719232743684048
1969,Wielka Brytania,41,0.040429922932588125,0.10213886863856318,0.1456953642384106,0.1058997737733134,0.02110050066925949,0.0832842677788142,0.0,0.0023628974892193335,0.05786262364796154,0.08402068164830505,41,0.04034303159951468,0.09635155089223722,0.1437908496732026,0.09873704789740095,0.01879439337824701,0.07548894914488559,0.0032586287158342755,0.0053307716132369905,0.04232188250882756,0.08747752575996504,0.0990477725732752
1970,Wielka Brytania,41,0.040634057988992854,0.10630490956764374,0.1456953642384106,0.10778512667206633,0.021462459522554413,0.08369607940415243,0.0032586287158342755,0.0053307716132369905,0.05704770269020985,0.08747752575996504,41,0.04050683877874744,0.09811051027876327,0.1437908496732026,0.10114787024250607,0.018315758572349374,0.07500845502487379,0.019684777548713173,0.01042499821314918,0.039518529733199685,0.09431199216337759,0.1024968449318489
1971,Wielka Brytania,41,0.040798863052564326,0.10824514101793108,0.1456953642384106,0.11041034289513257,0.02091587736153859,0.08316334614349262,0.019684777548713173,0.01042499821314918,0.05326892853841175,0.09431199216337759,41,0.04066459610989631,0.10041905251609021,0.1503267973856209,0.1038487343512281,0.01793710525923925,0.07194344480239705,0.03932965352131409,0.019659613427588297,0.03996740909507086,0.10503823046974184,0.103445664398119
1972,Wielka Brytania,41,0.04095758141344833,0.11079159336213479,0.152317880794702,0.113351394229301,0.02048347014082386,0.07976510915833343,0.03932965352131409,0.019659613427588297,0.0538739946380697,0.10503823046974184,41,0.04083677550070299,0.10255466977557659,0.1503267973856209,0.10471742141845763,0.018611448519103915,0.06960111241421896,0.045900113054465654,0.03167490887060818,0.03969513238511997,0.10676803890742019,0.10168461435681776
1973,Wielka Brytania,41,0.041130809690624597,0.11314729969871799,0.152317880794702,0.11429733343808968,0.02125354367434392,0.07716811927077247,0.045900113054465654,0.03167490887060818,0.05350697975409078,0.10676803890742019,41,0.040980302275989706,0.10619272561080824,0.1503267973856209,0.10185427774447224,0.01897946550319409,0.05976209323379881,0.052430671011504955,0.044806560635506254,0.039468463738674714,0.11461337573285137,0.10319439493284965
1974,Wielka Brytania,41,0.041275210805619224,0.117160280557451,0.152317880794702,0.11117957105415582,0.021673804624813862,0.06625940561252684,0.052430671011504955,0.044806560635506254,0.05320144217435518,0.11461337573285137,41,0.04106355247166118,0.11334940479477866,0.1503267973856209,0.10416885895892265,0.021025895206631968,0.06031373391634102,0.06554498902706657,0.04849513125695595,0.03933609747917718,0.11562860335496487,0.09741032871671895
1975,Wielka Brytania,41,0.04135896814674577,0.12505450150349579,0.152317880794702,0.1136999874449018,0.0240107470199126,0.06687102046333102,0.06554498902706657,0.04849513125695595,0.05302301932143847,0.11562860335496487,41,0.04109072929205756,0.11180727512201846,0.1568627450980392,0.09874675590684434,0.018715684543499398,0.0536913955673449,0.07212874908558888,0.05799692321306409,0.03920716039738683,0.10751391234184851,0.09555501881681021
1976,Wielka Brytania,41,0.04138631052352116,0.12335344546182105,0.15894039735099338,0.1077956980125619,0.02137257712274292,0.05952870397095349,0.07212874908558888,0.05799692321306409,0.05284921882222427,0.10751391234184851,41,0.04108737645576236,0.11167676283747269,0.1568627450980392,0.09801685741906456,0.017775433058136048,0.056305674988232274,0.07865930704262818,0.06073761201852879,0.039281573553632855,0.09561875608275038,0.09491697288724033
1977,Wielka Brytania,41,0.041382937262340776,0.1232094830479846,0.15894039735099338,0.10700088981974691,0.02029884683310296,0.06242720687069951,0.07865930704262818,0.06073761201852879,0.052949523897568636,0.09561875608275038,41,0.041072942237133404,0.11418848536153772,0.1568627450980392,0.09798030256869135,0.016611818663353806,0.056054725365095,0.07865930704262818,0.06299755286525784,0.03928260230694501,0.09340133734354186,0.09568700966616592
1978,Wielka Brytania,41,0.041368415113007075,0.12598005471263848,0.15894039735099338,0.10696108415491792,0.018970044868322284,0.06214897409858571,0.07865930704262818,0.06299755286525784,0.05295091060367939,0.09340133734354186,41,0.04105370598483505,0.11667379320495794,0.16339869281045752,0.09784822569947406,0.01627358340051948,0.05526395884344636,0.08475094766243267,0.06722813490213163,0.03923390798350291,0.09516125007278506,0.09576071357282458
1979,Wielka Brytania,41,0.041349061676864925,0.12872148949412784,0.16556291390728478,0.10681726172002758,0.018583793474537775,0.06127223573706708,0.08475094766243267,0.06722813490213163,0.052885273181103816,0.09516125007278506,41,0.041053493962775585,0.12084025317476217,0.16339869281045752,0.0979233728836839,0.01676498180124105,0.05282907476647517,0.11433131608698544,0.06936725059816959,0.03930009111325168,0.0980639375541927,0.10146512547515352
1980,Wielka Brytania,41,0.041348848363204606,0.13331732992779646,0.16556291390728478,0.10689909172608589,0.019144951159847347,0.05857263197579398,0.11433131608698544,0.06936725059816959,0.05297448460756217,0.0980639375541927,41,0.04108632850443619,0.12417205344486087,0.16339869281045752,0.10328459113579634,0.017001108305483882,0.05740100587784767,0.16613686240606504,0.07589265961683112,0.04011692124310435,0.10032017498515583,0.09216328674525169
1981,Wielka Brytania,41,0.04138188292708063,0.136992493618124,0.16556291390728478,0.11273708188716962,0.019414598359281814,0.06364162172412553,0.16613686240606504,0.07589265961683112,0.05407552925949893,0.10032017498515583,41,0.041134465111291735,0.12213051085475254,0.16339869281045752,0.09421239638497697,0.015601367406458806,0.05314974394372531,0.10677661767639822,0.07523748098280199,0.03898392092864875,0.0849776812327866,0.089631253269343
1982,Wielka Brytania,41,0.04143031277362399,0.13474055694990314,0.16556291390728478,0.10285809893887234,0.01781614919506667,0.058928164185814286,0.10677661767639822,0.07523748098280199,0.05254830359619118,0.0849776812327866,41,0.04115155530518173,0.12053829413979687,0.1699346405228758,0.09208562320506694,0.013412410894153636,0.05329203706878608,0.10609829088248986,0.07624492449278963,0.03890093482813475,0.07733990557551286,0.08787764123697063
1983,Wielka Brytania,41,0.04144750707794986,0.13298425207459189,0.17218543046357615,0.10054219230808384,0.015316446778687667,0.05908592736610301,0.10609829088248986,0.07624492449278963,0.05243644263659055,0.07733990557551286,41,0.04114256526588614,0.12241200956438575,0.1699346405228758,0.09027897463285146,0.013663428259024396,0.04989453388502838,0.09984704395823635,0.07939914163090128,0.03867700952385524,0.07773443023865179,0.08768060161861893
1984,Wielka Brytania,41,0.04143846227292629,0.1350510659098197,0.17218543046357615,0.09857487889289615,0.015603098756464854,0.055319048909524174,0.09984704395823635,0.07939914163090128,0.05213460293981695,0.07773443023865179,41,0.04117242921890714,0.12676048491990932,0.1699346405228758,0.08998533731018145,0.014122917672686123,0.05040071415655546,0.0952184611292146,0.0826792892077614,0.03912211679024852,0.07418489659770011,0.08574076888997317
1985,Wielka Brytania,41,0.04146850815186257,0.13984767958391334,0.17218543046357615,0.09825512847049932,0.01612781763104004,0.05588026091046533,0.0952184611292146,0.0826792892077614,0.05273458445040214,0.07418489659770011,41,0.041263053830582375,0.12993321686733839,0.1699346405228758,0.08492914231774051,0.01421013557064969,0.036196883943647847,0.08586819179357585,0.08475629056576803,0.039819268618120254,0.09459204129675029,0.08954700091365796
1986,Wielka Brytania,41,0.04155968483262975,0.14334738193911722,0.17218543046357615,0.09274928721757883,0.016227417047047363,0.040132195600125035,0.08586819179357585,0.08475629056576803,0.053674308958121475,0.09459204129675029,41,0.04138092289693102,0.1345346348943713,0.1764705882352941,0.09024062200295171,0.014065481495978405,0.04776706819285896,0.0669548447163663,0.09184498303342603,0.03900483891266261,0.08148954450226317,0.09077900566532854
1987,Wielka Brytania,41,0.0416782719364654,0.14842300565184027,0.17880794701986755,0.09853311557241984,0.01606222777171814,0.052960285944634165,0.0669548447163663,0.09184498303342603,0.05257649995377646,0.08148954450226317,41,0.04149150038026688,0.14045506005245206,0.1764705882352941,0.0923862119419063,0.014146317596530006,0.050656148663290636,0.051020815322205225,0.09212237035120978,0.03906793578247491,0.07974230726420517,0.0937463655183643
1988,Wielka Brytania,41,0.041789523038255304,0.15495356865333598,0.17880794701986755,0.10086951233231702,0.01615453942557859,0.05616346616104095,0.051020815322205225,0.09212237035120978,0.052661551261902556,0.07974230726420517,41,0.041593403957557104,0.14714832184753673,0.1764705882352941,0.09289510339988871,0.015095078145109311,0.05286006123496978,0.053707521447097166,0.0914774022932954,0.04552439156957236,0.07673702752601745,0.0917418897303005
1989,Wielka Brytania,41,0.041892047394099394,0.16233661407172859,0.17880794701986755,0.1014236593908872,0.017237986731414384,0.0586069872815302,0.053707521447097166,0.0914774022932954,0.061364518812979565,0.07673702752601745,41,0.04170019012170059,0.1544948634562465,0.1764705882352941,0.09153106814711014,0.01741805240306582,0.05091953364549482,0.0,0.09007685160289028,0.040912833388943165,0.08178187301772154,0.09287517181800624
1990,Wielka Brytania,41,0.041999484080651545,0.17044026398499626,0.17880794701986755,0.09993832079607154,0.01989073215287782,0.05645548625979889,0.0,0.09007685160289028,0.055148377553850415,0.08178187301772154,41,0.04181843383634787,0.15787152171172894,0.1830065359477124,0.09255184736228589,0.01777968758974403,0.050127747832119394,0.0,0.08909578541453236,0.039917686018316606,0.08817903497524518,0.09545534949716354
1991,Wielka Brytania,41,0.04211844811507693,0.17416490856425434,0.18543046357615894,0.10104987767262413,0.02030370534120088,0.055577617789538944,0.0,0.08909578541453236,0.05380697050938338,0.08817903497524518,41,0.04195957669335307,0.15848861949156287,0.1830065359477124,0.09537184432763406,0.015518404040103217,0.05151296528883568,0.0902706656912948,0.09659034828275127,0.03947532209408909,0.08627256187917327,0.09627785804816907
1992,Wielka Brytania,41,0.04226045078938188,0.17484560223433446,0.18543046357615894,0.10412065632102213,0.017721408287157264,0.05711343556899732,0.0902706656912948,0.09659034828275127,0.053210686881760186,0.08627256187917327,41,0.04210193696734487,0.15663177243782508,0.1830065359477124,0.09639717791761039,0.01275083122911291,0.05170316512505588,0.08326128882090843,0.10354630326091765,0.03900003806387255,0.08650626624790013,0.09255195652091594
1993,Wielka Brytania,41,0.04240367829696221,0.17279739516393086,0.18543046357615894,0.10523717259188127,0.014560948769461362,0.05732431386012825,0.08326128882090843,0.10354630326091765,0.05257002865859295,0.08650626624790013,41,0.042226621896959984,0.15701930288069518,0.1895424836601307,0.09252056599852389,0.011606362226566573,0.048466710034132006,0.08570858548912683,0.10405938471068334,0.034890511499575984,0.08652884446657375,0.09080510631484252
1994,Wielka Brytania,41,0.042529122785096796,0.17322486310830754,0.19205298013245034,0.10101581446436063,0.01325401009112132,0.05373599258467848,0.08570858548912683,0.10405938471068334,0.04703059998151058,0.08652884446657375,41,0.042334353421110554,0.16078814730466348,0.1895424836601307,0.08996688010704218,0.011753143567041848,0.04233852431428678,0.08826228636031123,0.11707361485026191,0.035342134203612915,0.08681245858184229,0.09060509149291927
1995,Wielka Brytania,41,0.04263751059062184,0.1773821111599896,0.19205298013245034,0.09823502987252009,0.013421628620499504,0.046941552810094496,0.08826228636031123,0.11707361485026191,0.04763936396413053,0.08681245858184229,41,0.04244238891953992,0.16688713404607802,0.1895424836601307,0.08901465621781225,0.013546428639804974,0.03982902808291408,0.09876970140320543,0.12376494573078796,0.03675358374789234,0.08545499269772876,0.091062055714203
1996,Wielka Brytania,41,0.042746204222183184,0.18410963766300287,0.19205298013245034,0.09719812493131892,0.015469489783772099,0.04415922508895651,0.09876970140320543,0.12376494573078796,0.04954192474808172,0.08545499269772876,41,0.04255746750200916,0.17094350061103994,0.1895424836601307,0.08905864189022852,0.013369865578073847,0.037040857493435254,0.11093968211744364,0.1312518506669208,0.04060695073746181,0.08381470491654576,0.09466881386206848
1997,Wielka Brytania,41,0.0428619838430056,0.18858403885925612,0.19205298013245034,0.0972460222394902,0.015267861697708485,0.04106792563794073,0.11093968211744364,0.1312518506669208,0.054736063603586946,0.08381470491654576,41,0.042666845806815144,0.17511620505555728,0.19607843137254902,0.09211762368063955,0.013648537398396469,0.03528217154802077,0.11580767440313894,0.15106802626160176,0.04268777577018474,0.08591289481679361,0.09045443800297844
1998,Wielka Brytania,41,0.0429720284610823,0.1931867673008695,0.1986754966887417,0.10057703857860628,0.01558609397812214,0.0391180360156615,0.11580767440313894,0.15106802626160176,0.05754090783026717,0.08591289481679361,41,0.042779716776084574,0.18043033592766616,0.19607843137254902,0.08826701963870383,0.014273953544769374,0.031542797919095554,0.09591008844849372,0.1556151361580325,0.040249630420372606,0.08228889266512898,0.08971915701122948
