country,year,residual
Colombia,1998,2.6050926014414257e-06
Colombia,1999,6.453983056106945e-07
Colombia,2000,-2.4856697173583702e-06
Colombia,2001,9.80379243839463e-07
Colombia,2002,2.2266585034405187e-06
Cote d'Ivoire,1952,9.417408488884287e-05
Cote d'Ivoire,1953,3.737770345490883e-06
Cote d'Ivoire,1954,-9.745117327272866e-07
Cote d'Ivoire,1955,1.8689474008652272e-06
Cote d'Ivoire,1956,8.429135097693378e-07
Cote d'Ivoire,1957,2.3708396821597063e-06
Cote d'Ivoire,1958,2.042666217973548e-06
Cote d'Ivoire,1959,2.2946899042066956e-06
Cote d'Ivoire,1960,-3.3755646469392224e-05
Cote d'Ivoire,1961,5.960915836186447e-07
Cote d'Ivoire,1962,-4.610467789245062e-06
Cote d'Ivoire,1963,-5.269089327424079e-06
Cote d'Ivoire,1964,2.0545926617314224e-06
Cote d'Ivoire,1965,-2.826471527889623e-06
Cote d'Ivoire,1966,-1.6908605877664128e-06
Cote d'Ivoire,1967,-2.437485029596992e-06
Cote d'Ivoire,1968,-9.001366455637554e-07
Cote d'Ivoire,1969,2.247506480500017e-08
Cote d'Ivoire,1970,4.769819939426229e-06
Cote d'Ivoire,1971,1.8776670044608486e-07
Cote d'Ivoire,1972,3.6313307742986133e-06
Cote d'Ivoire,1973,7.94768131302111e-06
Cote d'Ivoire,1974,-5.410290462194604e-07
Cote d'Ivoire,1975,-6.283310820683381e-07
Cote d'Ivoire,1976,5.628544417498175e-06
Cote d'Ivoire,1977,4.7355421573092553e-07
Cote d'Ivoire,1978,-6.166573300733938e-06
Cote d'Ivoire,1979,-1.7658838957081746e-06
Cote d'Ivoire,1980,2.465788667402865e-06
Cote d'Ivoire,1981,2.637717299968929e-06
Cote d'Ivoire,1982,-3.86840581275954e-07
Cote d'Ivoire,1983,5.024653819807293e-06
Cote d'Ivoire,1984,-5.48268791081141e-07
Cote d'Ivoire,1985,-4.845575863165897e-06
Cote d'Ivoire,1986,-2.3048985274707894e-06
Cote d'Ivoire,1987,2.961278890520701e-06
Cote d'Ivoire,1988,-1.4893158161204346e-06
Cote d'Ivoire,1989,-2.7738736103870276e-06
Cote d'Ivoire,1990,-2.3251574718278017e-06
Cote d'Ivoire,1991,-1.5315271779607457e-07
Cote d'Ivoire,1992,3.7129985371513656e-06
Cote d'Ivoire,1993,2.118792989927943e-07
Cote d'Ivoire,1994,-5.674617707681887e-07
Cote d'Ivoire,1995,-1.997711162296153e-06
Cote d'Ivoire,1996,5.830530104364091e-07
Cote d'Ivoire,1997,3.910764157314935e-09
Cote d'Ivoire,1998,4.0494634300224994e-08
Cote d'Ivoire,1999,1.3349421784226123e-06
Cote d'Ivoire,2000,-1.0594377719216945e-06
Cote d'Ivoire,2001,-6.049699057325045e-07
Cote d'Ivoire,2002,7.321344555196076e-07
