year_range,country_index,country_t-3,population_t-3,gdp_t-3,temperature_change_from_co2_t-3,cement_co2_t-3,coal_co2_t-3,flaring_co2_t-3,gas_co2_t-3,land_use_change_co2_t-3,oil_co2_t-3,country_t-2,population_t-2,gdp_t-2,temperature_change_from_co2_t-2,cement_co2_t-2,coal_co2_t-2,flaring_co2_t-2,gas_co2_t-2,land_use_change_co2_t-2,oil_co2_t-2,country_t-1,population_t-1,gdp_t-1,temperature_change_from_co2_t-1,cement_co2_t-1,coal_co2_t-1,flaring_co2_t-1,gas_co2_t-1,land_use_change_co2_t-1,oil_co2_t-1,co2_including_luc_t+1,co2_including_luc_t+2
1967-1968,Democratic Republic of Congo,11,0.01148649629344891,0.0025709227842509374,0.013793103448275864,0.0003067351437040576,0.0002450924154848345,0.0,0.0,0.16601554967251986,0.000364795383853071,11,0.011733038498288561,0.002342184992846827,0.01360544217687075,0.0002987982480219799,0.0002662513928473755,0.0,0.0,0.15454999039868006,0.0004622325873578001,11,0.012000516826899182,0.0022816453869811113,0.013422818791946308,0.00027867182032262117,0.00018530697149697457,0.0,0.0,0.148047075291805,0.0005398654812070965,0.04130574526802518,0.038007144502080835
1968-1969,Democratic Republic of Congo,11,0.01185136668920678,0.0025991242429943585,0.013793103448275864,0.0003338798466867175,0.0003071477291926968,0.0,0.0,0.15454999039868006,0.0004622325873578001,11,0.012119519448357577,0.0025168432811110138,0.01360544217687075,0.0003182322804136534,0.00020545205101720236,0.0,0.0,0.148047075291805,0.0005398654812070965,11,0.012405107332032542,0.002257866821007083,0.013422818791946308,0.0003084535415784738,0.00019346129367505923,0.0,0.0,0.14585967944988698,0.00047292691457173375,0.0405868348568241,0.037354445194397214
1969-1970,Democratic Republic of Congo,11,0.012240239134935594,0.0027910000529643205,0.013793103448275864,0.0003555956090728455,0.00023700958050607932,0.0,0.0,0.148047075291805,0.0005398654812070965,11,0.012526638528138392,0.002490613559197315,0.01360544217687075,0.000352241837099082,0.00021449284534139166,0.0,0.0,0.14585967944988698,0.00047292691457173375,11,0.01282520044713732,0.00236408829751253,0.020134228187919465,0.0003084535415784738,0.00015085496029456675,0.0,0.0,0.1432244926626023,0.0009826898451025725,0.03988983434917827,0.03750266725093348
1970-1971,Democratic Republic of Congo,11,0.012649877416535133,0.002762184648968919,0.013793103448275864,0.00039359819324856943,0.00024743904499479566,0.0,0.0,0.14585967944988698,0.00047292691457173375,11,0.012949357104757829,0.002607784619598665,0.020408163265306124,0.000352241837099082,0.00016725469499750248,0.0,0.0,0.1432244926626023,0.0009826898451025725,11,0.013252647423088688,0.0026032641127130066,0.020134228187919465,0.00034036252863831593,0.00018082209429902798,0.0,0.0,0.14097904232822062,0.001030220188275611,0.04004811680395324,0.03732373139576931
1971-1972,Democratic Republic of Congo,11,0.013075211722703775,0.0028909062363781687,0.020689655172413796,0.00039359819324856943,0.00019294509304125268,0.0,0.0,0.1432244926626023,0.0009826898451025725,11,0.01337947550174555,0.00287161529500789,0.020408163265306124,0.0003886806478334698,0.00020047961413889823,0.0,0.0,0.14097904232822062,0.001030220188275611,11,0.01368641383713686,0.0025961207859290588,0.020134228187919465,0.0004403440214258212,0.00016064014690826838,0.0,0.0,0.14184377008309912,0.000679287821181343,0.039857035887492516,0.036948326707276866
1972-1973,Democratic Republic of Congo,11,0.013507991638401311,0.0031807448981569656,0.020689655172413796,0.0004343152477225594,0.00023127337503728532,0.0,0.0,0.14097904232822062,0.001030220188275611,11,0.013815952831506184,0.0028637356156661557,0.020408163265306124,0.0005028555881345516,0.00017810364818652966,0.0,0.0,0.14184377008309912,0.000679287821181343,11,0.014114532119887502,0.0027755792785698463,0.020134228187919465,0.0004786348058976318,0.0001785796557000547,0.0,0.0,0.1411584834867447,0.0007359281467958805,0.039456151046078386,0.036621914879753616
1973-1974,Democratic Republic of Congo,11,0.013947169835150437,0.0031720884532151026,0.020689655172413796,0.0005618953517410612,0.00020546045042771233,0.0,0.0,0.14184377008309912,0.000679287821181343,11,0.01424674673076819,0.0030616931528095097,0.020408163265306124,0.0005465821610158169,0.00019799339569974618,0.0,0.0,0.1411584834867447,0.0007359281467958805,11,0.014542079791858762,0.0027810567932907058,0.020134228187919465,0.000502034729741516,0.00017327934628429963,0.0,0.0,0.13990929696009624,0.0007648424388928123,0.03910758439860834,0.03458883549689455
1974-1975,Democratic Republic of Congo,11,0.014380629433045626,0.003389560313019355,0.020689655172413796,0.0006107558171098491,0.00022840527230288832,0.0,0.0,0.1411584834867447,0.0007359281467958805,11,0.014676966453097053,0.0030677353038821714,0.020408163265306124,0.0005733039555543679,0.0001921168793890231,0.0,0.0,0.13990929696009624,0.0007648424388928123,11,0.014984908847697133,0.003041702739295758,0.020134228187919465,0.0005637254380572108,0.00016879446908635306,0.0,0.0,0.13877378356554454,0.0008301966607557404,0.03693651213722346,0.03495006458602028
1975-1976,Democratic Republic of Congo,11,0.01481351130107281,0.003396198089231121,0.020689655172413796,0.0006406149903907751,0.00022162612038522267,0.0,0.0,0.13990929696009624,0.0007648424388928123,11,0.015122563063560513,0.0033552493065816063,0.020408163265306124,0.0006437523229741843,0.00018714444251071897,0.0,0.0,0.13877378356554454,0.0008301966607557404,11,0.015438428464313942,0.0031511986363253713,0.020134228187919465,0.0006573251334327477,0.00016960990130416152,0.0,0.0,0.13206503889448007,0.0008808956934736482,0.037322259227090315,0.034451804703016224
1976-1977,Democratic Republic of Congo,11,0.015261865207490323,0.0037120547410621233,0.020689655172413796,0.000719334629040489,0.00021588991491642868,0.0,0.0,0.13877378356554454,0.0008301966607557404,11,0.015578917047741937,0.0034760323232241866,0.020408163265306124,0.0007506395011283886,0.0001880485219431379,0.0,0.0,0.13206503889448007,0.0008808956934736482,11,0.015899417894769945,0.0029866189084989552,0.020134228187919465,0.0006573251334327477,0.00013678875453737067,0.0,0.0,0.13329758042678577,0.0008923821930737992,0.03679018053893317,0.03389709111727101
