country_index,year,var1(t-2),var2(t-2),var3(t-2),var4(t-2),var5(t-2),var6(t-2),var7(t-2),var8(t-2),var9(t-2),var10(t-2),var11(t-2),var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var8(t-1),var9(t-1),var10(t-1),var11(t-1),var1(t),var2(t),var3(t),var4(t),var5(t),var6(t),var7(t),var8(t),var9(t),var10(t),var11(t)
Ukraine,1992,9.0,0.026348443159706077,0.017031602940857107,0.08101780768114061,0.010159678145886801,0.03525449958110097,0.0658063784764208,0.15359622857870933,0.03369757571961036,0.0666678156165265,0.05180809620816226,9.0,0.02640989933034987,0.014750819406813892,0.07476847241600891,0.009481898512673635,0.029822878183304428,0.05790885731559855,0.15996247910318906,0.03848740877627087,0.05186819247208052,0.04546181512015057,9,0.02649307692535519,0.012273807580239887,0.06027889168033296,0.009146516872222399,0.03286676170820782,0.05118273881499396,0.1396393922552007,0.03530397469226673,0.03734393431070669,0.0400815729224786
Ukraine,1993,9.0,0.02640989933034987,0.014750819406813892,0.07476847241600891,0.009481898512673635,0.029822878183304428,0.05790885731559855,0.15996247910318906,0.03848740877627087,0.05186819247208052,0.04546181512015057,9.0,0.02649307692535519,0.012273807580239887,0.06027889168033296,0.009146516872222399,0.03286676170820782,0.05118273881499396,0.1396393922552007,0.03530397469226673,0.03734393431070669,0.0400815729224786,9,0.026488092311610926,0.008824158314359875,0.05052762539749037,0.005945656948083202,0.031598945773004684,0.04604368198307134,0.11674608004018633,0.034011573276537095,0.02407815922913124,0.031532814613956996
Ukraine,1994,9.0,0.02649307692535519,0.012273807580239887,0.06027889168033296,0.009146516872222399,0.03286676170820782,0.05118273881499396,0.1396393922552007,0.03530397469226673,0.03734393431070669,0.0400815729224786,9.0,0.026488092311610926,0.008824158314359875,0.05052762539749037,0.005945656948083202,0.031598945773004684,0.04604368198307134,0.11674608004018633,0.034011573276537095,0.02407815922913124,0.031532814613956996,9,0.0262725929172874,0.0037298219180143897,0.04045937855572654,0.0039712554078535425,0.02489240845642874,0.043020707376058044,0.1009585988683686,0.03586815234754283,0.01760497571885963,0.02258677073338626
Ukraine,1995,9.0,0.026488092311610926,0.008824158314359875,0.05052762539749037,0.005945656948083202,0.031598945773004684,0.04604368198307134,0.11674608004018633,0.034011573276537095,0.02407815922913124,0.031532814613956996,9.0,0.0262725929172874,0.0037298219180143897,0.04045937855572654,0.0039712554078535425,0.02489240845642874,0.043020707376058044,0.1009585988683686,0.03586815234754283,0.01760497571885963,0.02258677073338626,9,0.02595708730330323,0.0017465258823657782,0.03901992896213052,0.0017498782662874095,0.023321838504577343,0.04205713422007255,0.09344709692678665,0.033174507470166315,0.015586653798428239,0.018814480316074293
Ukraine,1996,9.0,0.0262725929172874,0.0037298219180143897,0.04045937855572654,0.0039712554078535425,0.02489240845642874,0.043020707376058044,0.1009585988683686,0.03586815234754283,0.01760497571885963,0.02258677073338626,9.0,0.02595708730330323,0.0017465258823657782,0.03901992896213052,0.0017498782662874095,0.023321838504577343,0.04205713422007255,0.09344709692678665,0.033174507470166315,0.015586653798428239,0.018814480316074293,9,0.025627471944887886,0.00034432474053733807,0.03509528433727581,0.0,0.01958724714346227,0.042151602176541715,0.096267022251122,0.03199447176371096,0.011170473520535566,0.014520824030342105
Ukraine,1997,9.0,0.02595708730330323,0.0017465258823657782,0.03901992896213052,0.0017498782662874095,0.023321838504577343,0.04205713422007255,0.09344709692678665,0.033174507470166315,0.015586653798428239,0.018814480316074293,9.0,0.025627471944887886,0.00034432474053733807,0.03509528433727581,0.0,0.01958724714346227,0.042151602176541715,0.096267022251122,0.03199447176371096,0.011170473520535566,0.014520824030342105,9,0.025296680774436604,0.00013475387944733228,0.033184751233494986,0.0003564306973833217,0.02067099935349961,0.041792623941958894,0.0902771523074546,0.029982068468694206,0.006838549565696954,0.012817162071625511
Ukraine,1998,9.0,0.025627471944887886,0.00034432474053733807,0.03509528433727581,0.0,0.01958724714346227,0.042151602176541715,0.096267022251122,0.03199447176371096,0.011170473520535566,0.014520824030342105,9.0,0.025296680774436604,0.00013475387944733228,0.033184751233494986,0.0003564306973833217,0.02067099935349961,0.041792623941958894,0.0902771523074546,0.029982068468694206,0.006838549565696954,0.012817162071625511,9,0.02498311806396773,9.655317070725311e-05,0.031366273955514556,0.000879850579761191,0.01648790336949145,0.041395858524788394,0.10946377483361269,0.028018996460675915,0.004190220138793142,0.011079414403353041
Ukraine,1999,9.0,0.025296680774436604,0.00013475387944733228,0.033184751233494986,0.0003564306973833217,0.02067099935349961,0.041792623941958894,0.0902771523074546,0.029982068468694206,0.006838549565696954,0.012817162071625511,9.0,0.02498311806396773,9.655317070725311e-05,0.031366273955514556,0.000879850579761191,0.01648790336949145,0.041395858524788394,0.10946377483361269,0.028018996460675915,0.004190220138793142,0.011079414403353041,9,0.02466787604512512,0.0003151973688455094,0.030614651252999076,0.0005248231528400091,0.016572969210452353,0.04052675332527207,0.09075165545213633,0.03770711310176339,0.0022657291235810475,0.01050962188660038
Ukraine,2000,9.0,0.02498311806396773,9.655317070725311e-05,0.031366273955514556,0.000879850579761191,0.01648790336949145,0.041395858524788394,0.10946377483361269,0.028018996460675915,0.004190220138793142,0.011079414403353041,9.0,0.02466787604512512,0.0003151973688455094,0.030614651252999076,0.0005248231528400091,0.016572969210452353,0.04052675332527207,0.09075165545213633,0.03770711310176339,0.0022657291235810475,0.01050962188660038,9,0.024341814778506037,0.0014720555981840213,0.030766818159079595,0.00014032704621390639,0.016460977016683354,0.04056454050785973,0.08632735298274288,0.036368121026090765,0.0,0.008813130397272065
Ukraine,2001,9.0,0.02466787604512512,0.0003151973688455094,0.030614651252999076,0.0005248231528400091,0.016572969210452353,0.04052675332527207,0.09075165545213633,0.03770711310176339,0.0022657291235810475,0.01050962188660038,9.0,0.024341814778506037,0.0014720555981840213,0.030766818159079595,0.00014032704621390639,0.016460977016683354,0.04056454050785973,0.08632735298274288,0.036368121026090765,0.0,0.008813130397272065,9,0.02399735220161178,0.003261358422534834,0.030062441204337518,0.0004406269251116652,0.01766033839325496,0.041395858524788394,0.09079998447613169,0.032954865787577906,0.0009130321552767457,0.0098002650163918
Ukraine,2002,9.0,0.024341814778506037,0.0014720555981840213,0.030766818159079595,0.00014032704621390639,0.016460977016683354,0.04056454050785973,0.08632735298274288,0.036368121026090765,0.0,0.008813130397272065,9.0,0.02399735220161178,0.003261358422534834,0.030062441204337518,0.0004406269251116652,0.01766033839325496,0.041395858524788394,0.09079998447613169,0.032954865787577906,0.0009130321552767457,0.0098002650163918,9,0.023673044286945524,0.00454186313248669,0.029760730421134172,0.0009205454231632241,0.01824936910617637,0.04115024183796856,0.08043926689264147,0.03183081717668431,0.0014384852245048034,0.008671591566738211
Ukraine,2003,9.0,0.02399735220161178,0.003261358422534834,0.030062441204337518,0.0004406269251116652,0.01766033839325496,0.041395858524788394,0.09079998447613169,0.032954865787577906,0.0009130321552767457,0.0098002650163918,9.0,0.023673044286945524,0.00454186313248669,0.029760730421134172,0.0009205454231632241,0.01824936910617637,0.04115024183796856,0.08043926689264147,0.03183081717668431,0.0014384852245048034,0.008671591566738211,9,0.023398419613847924,0.0067321757613345665,0.0309688850684264,0.002036145440563778,0.01774245707122194,0.044947853688029026,0.08924100732331165,0.03233822470009709,0.0021588767866170325,0.009985138422793943
Ukraine,2004,9.0,0.023673044286945524,0.00454186313248669,0.029760730421134172,0.0009205454231632241,0.01824936910617637,0.04115024183796856,0.08043926689264147,0.03183081717668431,0.0014384852245048034,0.008671591566738211,9.0,0.023398419613847924,0.0067321757613345665,0.0309688850684264,0.002036145440563778,0.01774245707122194,0.044947853688029026,0.08924100732331165,0.03233822470009709,0.0021588767866170325,0.009985138422793943,9,0.023143943679492,0.00966927829664497,0.030779777171191926,0.0029510777818784455,0.018128133537562797,0.04861321039903265,0.08931789440694063,0.030550161305478118,0.0018601498230617231,0.009861889485192517
Ukraine,2005,9.0,0.023398419613847924,0.0067321757613345665,0.0309688850684264,0.002036145440563778,0.01774245707122194,0.044947853688029026,0.08924100732331165,0.03233822470009709,0.0021588767866170325,0.009985138422793943,9.0,0.023143943679492,0.00966927829664497,0.030779777171191926,0.0029510777818784455,0.018128133537562797,0.04861321039903265,0.08931789440694063,0.030550161305478118,0.0018601498230617231,0.009861889485192517,9,0.022885276878559648,0.010841544412394754,0.03139247301855612,0.0036821816926528965,0.018206233356901705,0.0467049576783555,0.09074872642037904,0.030988661634353366,0.0017797233328737533,0.010280062946329244
Ukraine,2006,9.0,0.023143943679492,0.00966927829664497,0.030779777171191926,0.0029510777818784455,0.018128133537562797,0.04861321039903265,0.08931789440694063,0.030550161305478118,0.0018601498230617231,0.009861889485192517,9.0,0.022885276878559648,0.010841544412394754,0.03139247301855612,0.0036821816926528965,0.018206233356901705,0.0467049576783555,0.09074872642037904,0.030988661634353366,0.0017797233328737533,0.010280062946329244,9,0.022648290037584524,0.01324019409225413,0.031983841142371586,0.0046630677456881,0.020635499435618286,0.047045042321644505,0.08809429139033083,0.03037985090988818,0.0034070193176769775,0.012148230021591426
Ukraine,2007,9.0,0.022885276878559648,0.010841544412394754,0.03139247301855612,0.0036821816926528965,0.018206233356901705,0.0467049576783555,0.09074872642037904,0.030988661634353366,0.0017797233328737533,0.010280062946329244,9.0,0.022648290037584524,0.01324019409225413,0.031983841142371586,0.0046630677456881,0.020635499435618286,0.047045042321644505,0.08809429139033083,0.03037985090988818,0.0034070193176769775,0.012148230021591426,9,0.022441347119260515,0.016047382195586664,0.03177933856327836,0.00561729165994266,0.021630702793883724,0.04946342200725514,0.08275320198090418,0.031649935791023265,0.0044073716623006555,0.012875876784732433
Ukraine,2008,9.0,0.022648290037584524,0.01324019409225413,0.031983841142371586,0.0046630677456881,0.020635499435618286,0.047045042321644505,0.08809429139033083,0.03037985090988818,0.0034070193176769775,0.012148230021591426,9.0,0.022441347119260515,0.016047382195586664,0.03177933856327836,0.00561729165994266,0.021630702793883724,0.04946342200725514,0.08275320198090418,0.031649935791023265,0.0044073716623006555,0.012875876784732433,9,0.022256143395757006,0.01726601490592245,0.030035992329014275,0.00579971682002074,0.020715876608179768,0.05093712212817413,0.07935406062656383,0.03094794374667209,0.004702651776276483,0.01156347304698497
