year,country_index,population,gdp,temperature_change_from_co2,cement_co2_lag_1,coal_co2_lag_1,flaring_co2_lag_1,gas_co2_lag_1,land_use_change_co2_lag_1,oil_co2_lag_1,cement_co2_diff_lag1_lag2,coal_co2_diff_lag1_lag2,flaring_co2_diff_lag1_lag2,gas_co2_diff_lag1_lag2,land_use_change_co2_diff_lag1_lag2,oil_co2_diff_lag1_lag2,co2_including_luc
1925,Colombia,0.0036925310056183875,0.0011676939169694466,0.013071895424836602,0.0,0.0,0.0,0.0,0.18613772393099554,7.842506623551364e-05,0.08318266349829528,0.4508600149892054,0.38376263890956835,0.4827834894163599,0.39784322142349,0.5025546921372898,0.05448753997063542
1926,Colombia,0.0038240171342153566,0.0012979589095307666,0.013071895424836602,0.0,0.0,0.0,0.0,0.18690988927830957,0.00017546618354713405,0.08318266349829528,0.4508600149892054,0.38376263890956835,0.4827834894163599,0.3956331044619507,0.5030086009908402,0.05472283905608949
1927,Colombia,0.003958723903617125,0.001432885415395127,0.013071895424836602,0.0,0.0,0.0,0.0,0.1874656696991681,0.0003350889193699219,0.08318266349829528,0.4508600149892054,0.38376263890956835,0.4827834894163599,0.39527505207881986,0.5033150864560579,0.054873154273208005
1928,Colombia,0.004096730143346803,0.0015524884718043702,0.013071895424836602,0.0,0.0,0.0,0.0,0.187934571369067,0.0003263750231215315,0.08318266349829528,0.4508600149892054,0.38376263890956835,0.4827834894163599,0.3951312937111088,0.5024906793502506,0.05539089193358352
1929,Colombia,0.004226478990530593,0.0016157916721648094,0.0196078431372549,0.0,5.381852637535895e-05,0.0,0.0,0.1893043326108323,0.00042975351952289037,0.08318266349829528,0.4511061064233592,0.38376263890956835,0.4827834894163599,0.39662194706601933,0.503039637493647,0.054767986736142756
1930,Colombia,0.004347594488981347,0.001599890081943468,0.0196078431372549,0.0,5.381852637535895e-05,0.0,0.0,0.1874238542255754,0.0004063844341294798,0.08318266349829528,0.4508600149892054,0.38376263890956835,0.4827834894163599,0.39124377187024933,0.5024189074375097,0.051431705967500845
1931,Colombia,0.0044596893128691665,0.0015889664152273076,0.0196078431372549,0.0,5.402238442981107e-05,0.0,0.0,0.17748273284824675,0.0001532853567330494,0.08318266349829528,0.4508609471537287,0.38376263890956835,0.4827834894163599,0.37790581677257085,0.501293834210761,0.049265945197886934
1932,Colombia,0.004562364008745208,0.0016891735262453164,0.0196078431372549,0.0,0.0,0.0,0.0,0.17099240298099666,0.00013070844372585608,0.08318266349829528,0.45061299139052835,0.38376263890956835,0.4827834894163599,0.3836158453966085,0.5024227870003606,0.04893424253678973
1933,Colombia,0.004655206995541688,0.001794886174780576,0.0196078431372549,0.0,0.0,0.0,0.0,0.1700789581695053,3.208298164180104e-05,0.08318266349829528,0.4508600149892054,0.38376263890956835,0.4827834894163599,0.3928439234211267,0.5020503489666782,0.047707420724989416
1934,Colombia,0.004749431772921165,0.0017529645915861816,0.0196078431372549,0.0,4.85182169596039e-05,0.0,0.0,0.16614383792160045,0.00011763759935327045,0.08318266349829528,0.4510818701457531,0.38376263890956835,0.4827834894163599,0.38784395365068997,0.5029523473295028,0.04806607920682432
1935,Colombia,0.004845058806240599,0.0019716443835662853,0.0196078431372549,7.658156894362107e-05,0.0001359733223195622,0.0,0.0,0.1671587766010353,1.3070844372585608e-05,0.08364758756069843,0.4512599135697053,0.38376263890956835,0.4827834894163599,0.39603482176985355,0.5020212522452968,0.046916805174880206
1936,Colombia,0.004942109318833135,0.0020852564105543676,0.0196078431372549,7.658156894362107e-05,0.00020467348666992568,0.0,0.0008392496461277481,0.16296789180591287,0.00014932449480196285,0.08318266349829528,0.4511741544335608,0.38376263890956835,0.4879739738791237,0.3874207397644378,0.5032006393519577,0.04673448821984159
1937,Colombia,0.00504060453403192,0.0021215023857478607,0.0196078431372549,0.0001084905560034632,0.00021262395079355825,0.0,0.0008656357911885597,0.16225621680389313,0.00026656600796212465,0.08337638185762992,0.4508963694056145,0.38376263890956835,0.4829466790901385,0.39317779215361454,0.503107529843537,0.04672081112853133
1938,Colombia,0.0051405656751700975,0.002272780871980672,0.0196078431372549,0.00013189047984734742,0.00018265681678909703,0.0,0.0008724451189461884,0.1622144013303004,0.0003172650406800325,0.08332472362847403,0.4507229868042789,0.38376263890956835,0.4828256028805608,0.39428620947475124,0.502781646564065,0.046494143217205096
1939,Colombia,0.005254343964162049,0.0024242960725959603,0.0196078431372549,0.00014678134047527375,0.00017919122986341103,0.0,0.0008732962849158921,0.16143208659619201,0.0004079687789019144,0.08327306539931811,0.45084416819230916,0.38376263890956835,0.482788753599385,0.39306090450884007,0.5029775644880333,0.04684417052491216
1940,Colombia,0.005382438149336689,0.0024802105014672814,0.0196078431372549,0.00017869032753511588,0.00018897641647711269,0.0,0.0008452078079156733,0.1618388740189095,0.0010432910326481967,0.08337638185762992,0.4509047588863243,0.38376263890956835,0.4826097713765311,0.3950285131958761,0.5056447639479982,0.05787852910451835
1941,Colombia,0.005525359106641872,0.0025253037014253857,0.0196078431372549,0.0001999629855750106,0.00028234340541618235,0.0,0.001019696831704911,0.19576665017052997,0.0005893762553456783,0.08331180907118504,0.45128694634088123,0.38376263890956835,0.48386264693650854,0.45049573124977743,0.5003103650280685,0.06226037702827614
1942,Colombia,0.005683633629525312,0.0025308725209830644,0.0196078431372549,0.00022336290941889482,0.00021731268604595696,0.0,0.0011541810549180796,0.2093388161674048,0.000477283862695929,0.08332472362847403,0.45056265450626964,0.38376263890956835,0.48361523033432813,0.4168132800486897,0.5019843963982137,0.06419721250256115
