year,country_index,population,gdp,temperature_change_from_co2,cement_co2_lag_1,cement_co2_lag_2,cement_co2_lag_3,coal_co2_lag_1,coal_co2_lag_2,coal_co2_lag_3,flaring_co2_lag_1,flaring_co2_lag_2,flaring_co2_lag_3,gas_co2_lag_1,gas_co2_lag_2,gas_co2_lag_3,land_use_change_co2_lag_1,land_use_change_co2_lag_2,land_use_change_co2_lag_3,oil_co2_lag_1,oil_co2_lag_2,oil_co2_lag_3,co2_including_luc
1965,Argentina,0.014403351234492318,0.013911262767310422,0.02777777777777778,0.0020132012277869335,0.0017697766186258405,0.002260816270372362,0.0003425407170661903,0.00031533070872389425,0.0003056878181425416,0.0,0.0,0.0,0.004713309505623611,0.004447218180722311,0.003958171089388181,0.09842554621095195,0.09628681480964854,0.09575065299962605,0.017106420271450477,0.01538015024073937,0.017057606410433,0.03715305107413585
1966,Argentina,0.01465771811580296,0.014007392125100259,0.02777777777777778,0.002283213623174618,0.0020308680655523005,0.001960624898372713,0.0003484350430540325,0.00034980504217223317,0.000350901603993306,0.0,0.0,0.0,0.005281792792214986,0.004933978379607341,0.004516871433054758,0.11530063202953435,0.09842554621095195,0.09628681480964854,0.017907497354969857,0.017106420271450477,0.01538015024073937,0.037408775508782216
1967,Argentina,0.01491531391585489,0.014385455738745192,0.02777777777777778,0.0024105251671138893,0.002303249953426931,0.0022498717932682086,0.00034655957569426453,0.0003558243702346416,0.0003892648162303181,0.031189731994413782,0.0,0.0,0.005719816452780904,0.005529077055360198,0.00501125537100105,0.1147831518156799,0.11530063202953435,0.09842554621095195,0.018378986276115415,0.017907497354969857,0.017106420271450477,0.04341064565317035
1968,Argentina,0.015174414991821384,0.015003144006779495,0.02777777777777778,0.0024566930896413167,0.002431678719212379,0.002551626661997023,0.00039371418359700173,0.00035390912948751166,0.0003959631548748758,0.037188268936623,0.031189731994413782,0.0,0.005982193354284615,0.005987608214497976,0.005615674605480844,0.1330786616629049,0.1147831518156799,0.11530063202953435,0.018835717518348716,0.018378986276115415,0.017907497354969857,0.05127804811799671
1969,Argentina,0.015435766702762645,0.016295602780151932,0.02777777777777778,0.002887593699897311,0.0024782517881235854,0.002693904864351024,0.0003170879457550538,0.0004020637539867788,0.00039383186530615293,0.03825231096628317,0.037188268936623,0.031189731994413782,0.006662915648741465,0.006262269141768526,0.0060813873746120685,0.15694159852813933,0.1330786616629049,0.1147831518156799,0.0198888103494467,0.018835717518348716,0.018378986276115415,0.04302303570810008
1970,Argentina,0.015705649281072688,0.017174974545935095,0.02777777777777778,0.003005112048148946,0.0029129337646281775,0.0027455002564134635,0.00034696146155707193,0.0003238124891754697,0.0004474185744626144,0.037667087849970075,0.03825231096628317,0.037188268936623,0.006635949133864696,0.006974861658631561,0.006360350098218127,0.1281831493870724,0.15694159852813933,0.1330786616629049,0.022920945762881183,0.0198888103494467,0.018835717518348716,0.03806486667150116
1971,Argentina,0.01598266663429304,0.018014995302817007,0.02777777777777778,0.00327932152740276,0.003031483394583976,0.0032270572489962353,0.0004403329436826623,0.00035431953821903945,0.0003603401720833645,0.03737447629181353,0.037667087849970075,0.03825231096628317,0.007493047012110152,0.006946632618884311,0.0070841033866849545,0.11077003359885071,0.1281831493870724,0.15694159852813933,0.024189727747312213,0.022920945762881183,0.0198888103494467,0.03584754152749916
1972,Argentina,0.01626611998830476,0.01858143517804082,0.02777777777777778,0.0038277404859103892,0.0033080991978141705,0.003358390974246082,0.00039224060210004113,0.0004496711668440088,0.0003942885702137364,0.03781339362904835,0.03737447629181353,0.037667087849970075,0.00803237730964556,0.007843858314634774,0.007055432217869888,0.1018044242378765,0.11077003359885071,0.1281831493870724,0.02623044985946149,0.024189727747312213,0.022920945762881183,0.03432389099152292
1973,Argentina,0.016562949043576615,0.01972084598854318,0.02777777777777778,0.0037759764515614544,0.0038613308042745615,0.0036648363331623908,0.0003828632653012014,0.0004005589219711767,0.0005003963437422978,0.03649664161734389,0.03781339362904835,0.03737447629181353,0.009087715513471597,0.008408439109579792,0.007966710448316346,0.0965900793874429,0.1018044242378765,0.11077003359885071,0.02622212501494688,0.02623044985946149,0.024189727747312213,0.0335708482779864
1974,Argentina,0.016875330190333236,0.021007936405362686,0.02777777777777778,0.0035955018453178726,0.003809112514889269,0.00427772705099501,0.00038581042829512245,0.000390982718235527,0.00044574398980147496,0.04161734388508346,0.03649664161734389,0.03781339362904835,0.010339836393425417,0.009513186394823556,0.008540133824617687,0.09298359724720454,0.0965900793874429,0.1018044242378765,0.026946008085694435,0.02622212501494688,0.02623044985946149,0.03300896105128453
