year,country_index,population_lag_1,gdp_lag_1,temperature_change_from_co2_lag_1,cement_co2_lag_1,coal_co2_lag_1,flaring_co2_lag_1,gas_co2_lag_1,land_use_change_co2_lag_1,oil_co2_lag_1,co2_including_luc
1960,Argentina,20024528.0,8461.059849001185,2.996325306643932e-10,5.842834347955667e-08,1.862715565630311e-07,0.0,7.355978627810853e-08,2.5593112606699145e-06,2.126192437594534e-06,4.052531756167202e-06
1961,Argentina,20349748.0,8976.940188939932,2.9484394597908534e-10,6.412855825045106e-08,1.9194340883238456e-07,0.0,1.1611937405809644e-07,1.6561875852221857e-06,2.024152829804084e-06,5.6466288451750425e-06
1962,Argentina,20680658.0,9465.958072320524,2.901261652312997e-10,6.94368622120244e-08,1.7112608312559495e-07,0.0,1.9486807431368965e-07,3.1744154368782657e-06,2.0367340342845958e-06,5.842572469249343e-06
1963,Argentina,21020364.0,9162.399253599986,2.8543749289974237e-10,6.87904357888379e-08,9.55264142904471e-08,0.0,2.4300245228864733e-07,3.2907612827256466e-06,2.1444918841557644e-06,5.660358458788042e-06
1964,Argentina,21364018.0,8797.718208999824,2.8084604684381e-10,5.869682379035629e-08,1.0789168966249702e-07,0.0,2.728419345087614e-07,3.3184300818319846e-06,1.902497928994443e-06,6.146674056709984e-06
1965,Argentina,21708488.0,9550.759905526354,2.7638958549301084e-10,6.62874355874071e-08,1.1778802835093812e-07,0.0,2.9790190823055017e-07,3.5821932877130824e-06,2.0824573318970904e-06,8.650128037692787e-06
1966,Argentina,22053662.0,10260.648769895903,2.720636599944263e-10,7.400131551848396e-08,1.1793959660758381e-07,0.0,3.286075573299346e-07,5.9836774500307474e-06,2.1458567742627053e-06,8.631520966722492e-06
1967,Argentina,22403120.0,10169.767770917622,2.67819839379515e-10,7.69089305418174e-08,1.1547498741246756e-07,1.0467292055749378e-07,3.5030834990840563e-07,5.816154178525135e-06,2.1680015997771737e-06,1.1184947199136056e-05
1968,Argentina,22757014.0,10279.427733005745,2.636549768787768e-10,7.716302323318868e-08,1.2914699617445416e-07,1.2286321922550998e-07,3.606800083701667e-07,8.307768321450257e-06,2.187325630682479e-06,1.448147568707725e-05
1969,Argentina,23112976.0,10551.929340470911,2.595944373411715e-10,8.930048644536299e-08,1.0241000553109214e-07,1.2443226696553487e-07,3.955353910288316e-07,1.1495750265997767e-05,2.2740472711086623e-06,1.0675940683443231e-05
1970,Argentina,23472030.0,11278.168020064732,2.5562339516437223e-10,9.151317546884526e-08,1.1034409891262068e-07,1.2065424251758369e-07,3.8790850216193486e-07,7.384832074601131e-06,2.58064598588192e-06,8.390749678603237e-06
1971,Argentina,23842804.0,11697.338991504523,2.5164825412313084e-10,9.831058461076977e-08,1.3786130188378849e-07,1.178552656809996e-07,4.311992834399847e-07,4.924378860808485e-06,2.68114438217921e-06,7.326103954113753e-06
1972,Argentina,24223380.0,12072.587226390371,2.476945826717824e-10,1.1294872969833278e-07,1.208749563438298e-07,1.1736594975597955e-07,4.54973665937619e-07,3.6582838563404446e-06,2.8616567960375473e-06,6.5793413654148546e-06
