year,country_index,country_t-3,population_t-3,gdp_t-3,temperature_change_from_co2_t-3,cement_co2_t-3,coal_co2_t-3,flaring_co2_t-3,gas_co2_t-3,land_use_change_co2_t-3,oil_co2_t-3,country_t-2,population_t-2,gdp_t-2,temperature_change_from_co2_t-2,cement_co2_t-2,coal_co2_t-2,flaring_co2_t-2,gas_co2_t-2,land_use_change_co2_t-2,oil_co2_t-2,country_t-1,population_t-1,gdp_t-1,temperature_change_from_co2_t-1,cement_co2_t-1,coal_co2_t-1,flaring_co2_t-1,gas_co2_t-1,land_use_change_co2_t-1,oil_co2_t-1,co2_t+1,co2_t+2
1964-1965,United Kingdom,40,0.039210890698618946,0.39002644856853436,0.5345327650431412,0.21679014856341233,0.5453728912747643,0.0,0.0004185639730545995,0.07559449852630772,0.16261639262185995,40,0.039171770468877626,0.3744908675626021,0.5312926204092804,0.2075956836822046,0.5352508398666342,0.0,0.0005990785766904588,0.07530518417012054,0.17316496373699805,40,0.03913258642040236,0.3828853046503323,0.5280668075538874,0.1939690377834348,0.5344267395264345,0.0,0.0007966782621973354,0.07508223163182554,0.18195366929388446,0.1755227446196236,0.1773637519794843
1965-1966,United Kingdom,40,0.03945988609280197,0.3916329027669892,0.5312926204092804,0.2135957473050622,0.5352508398666342,0.0,0.0005990785766904588,0.07530518417012054,0.17316496373699805,40,0.03942115669714839,0.38690783087108355,0.5280668075538874,0.20358136838702562,0.5344267395264345,0.0,0.0007966782621973354,0.07508223163182554,0.18195366929388446,40,0.03940185978316934,0.40106034836509863,0.5508364007065232,0.23249083219614763,0.5151358543377919,0.0,0.0014049049814037072,0.07463113498689913,0.19906888950737878,0.1773637519794843,0.17557182226956655
1966-1967,United Kingdom,40,0.03971081549178378,0.40461824314578737,0.5280668075538874,0.2094654076940301,0.5344267395264345,0.0,0.0007966782621973354,0.07508223163182554,0.18195366929388446,40,0.03969211294122298,0.4052738184246914,0.5508364007065232,0.24401214903573745,0.5151358543377919,0.0,0.0014049049814037072,0.07463113498689913,0.19906888950737878,40,0.039682636903360234,0.40894312851305215,0.5470977935874393,0.23091288295521983,0.5068693726378602,0.0,0.004583231814846524,0.07422536133819473,0.2172313157254701,0.17557182226956655,0.16849916389816355
1967-1968,United Kingdom,40,0.03998344837912263,0.4238249198389098,0.5508364007065232,0.25106474470148316,0.5151358543377919,0.0,0.0014049049814037072,0.07463113498689913,0.19906888950737878,40,0.03997464483790688,0.4132394136858197,0.5470977935874393,0.24235600293435805,0.5068693726378602,0.0,0.004583231814846524,0.07422536133819473,0.2172313157254701,40,0.03993509097941085,0.41438012256442786,0.5437793793107191,0.22693903079889485,0.48121618134244043,0.0,0.004458105541021011,0.07418007266149106,0.23300152752708972,0.16849916389816355,0.17058503097078204
1968-1969,United Kingdom,40,0.04026772854775772,0.4321551341768099,0.5470977935874393,0.24936073160306044,0.5068693726378602,0.0,0.004583231814846524,0.07422536133819473,0.2172313157254701,40,0.040228676679545786,0.41873352784827855,0.5437793793107191,0.23818522254075927,0.48121618134244043,0.0,0.004458105541021011,0.07418007266149106,0.23300152752708972,40,0.04017604129803754,0.4214375589254904,0.5663947220017266,0.2364109385737015,0.4370895671740525,0.0,0.007464464325623301,0.07368160568750688,0.2399441904051424,0.17058503097078204,0.1729835068815539
1969-1970,United Kingdom,40,0.040523332306580694,0.43790073724473333,0.5437793793107191,0.24506940463896135,0.48121618134244043,0.0,0.004458105541021011,0.07418007266149106,0.23300152752708972,40,0.040471132868575385,0.4258651084046624,0.5663947220017266,0.24812652022448434,0.4370895671740525,0.0,0.007464464325623301,0.07368160568750688,0.2399441904051424,40,0.040399473560597726,0.43667978808109437,0.5633877484267262,0.23918971249101362,0.4369188522682504,0.00043075382636419184,0.01675066461357642,0.07329820514379462,0.24848989362367488,0.1729835068815539,0.17798449567537963
1970-1971,United Kingdom,40,0.04076728878410744,0.44535876048784045,0.5663947220017266,0.2552980320857051,0.4370895671740525,0.0,0.007464464325623301,0.07368160568750688,0.2399441904051424,40,0.04069596151871106,0.4412674697609449,0.5633877484267262,0.2510429990758987,0.4369188522682504,0.00043075382636419184,0.01675066461357642,0.07329820514379462,0.24848989362367488,40,0.0405911560629468,0.44277916513858007,0.5608333957049317,0.23204144558580395,0.4321694790773048,0.0025903070226932683,0.03260952133327159,0.07156504610671797,0.266689321177884,0.17798449567537963,0.17894001331953752
1971-1972,United Kingdom,40,0.040993508645739835,0.4614661532440033,0.5633877484267262,0.2582988048798105,0.4369188522682504,0.00043075382636419184,0.01675066461357642,0.07329820514379462,0.24848989362367488,40,0.04088884198173803,0.44743092580983085,0.5608333957049317,0.2435404926202908,0.4321694790773048,0.0025903070226932683,0.03260952133327159,0.07156504610671797,0.266689321177884,40,0.04076633357221735,0.45153322399765017,0.5585191608913015,0.2263065996442717,0.41279964173396394,0.005154007693697377,0.06124175377707645,0.07183976474382137,0.2957946498742584,0.17894001331953752,0.17564301949810093
1972-1973,United Kingdom,40,0.04118758262888753,0.4679117368151393,0.5608333957049317,0.25057945616974864,0.4321694790773048,0.0025903070226932683,0.03260952133327159,0.07156504610671797,0.266689321177884,40,0.04106511430021227,0.4562769532842302,0.5585191608913015,0.2375214506246841,0.41279964173396394,0.005154007693697377,0.06124175377707645,0.07183976474382137,0.2957946498742584,40,0.040938542074598384,0.45945517249932405,0.5815473577543073,0.23386589501528168,0.3977462726169482,0.005990741111664989,0.09827201793479567,0.0716781682706565,0.2994511865608436,0.17564301949810093,0.17779415691754513
1973-1974,United Kingdom,40,0.04136494569836645,0.47716268448257854,0.5585191608913015,0.24438644796115666,0.41279964173396394,0.005154007693697377,0.06124175377707645,0.07183976474382137,0.2957946498742584,40,0.041238399056355256,0.4642821283949705,0.5815473577543073,0.24545535447479305,0.3977462726169482,0.005990741111664989,0.09827201793479567,0.0716781682706565,0.2994511865608436,40,0.0410769380740578,0.47456019373807196,0.5796652785875639,0.23771845308466158,0.340414412305224,0.006820942887880464,0.13856332907681496,0.07153208798578482,0.3204145853602006,0.17779415691754513,0.16838578327853407
1974-1975,United Kingdom,40,0.04153930271885299,0.4855342904076635,0.5815473577543073,0.2525496625899577,0.3977462726169482,0.005990741111664989,0.09827201793479567,0.0716781682706565,0.2994511865608436,40,0.04137765999112854,0.4795458403519568,0.5796652785875639,0.24949882993106928,0.340414412305224,0.006820942887880464,0.13856332907681496,0.07153208798578482,0.3204145853602006,40,0.04116032353271126,0.5062645792976262,0.5785371701357015,0.26283753948263033,0.3428880370537802,0.008510448971218275,0.14967829214813713,0.07145936729020444,0.32262367398735936,0.16838578327853407,0.16534410867174923
1975-1976,United Kingdom,40,0.0416794253828293,0.5014966871935196,0.5796652785875639,0.2567100051677694,0.340414412305224,0.006820942887880464,0.13856332907681496,0.07153208798578482,0.3204145853602006,40,0.04146156658498918,0.5115833066557371,0.5785371701357015,0.27586271789982797,0.3428880370537802,0.008510448971218275,0.14967829214813713,0.07145936729020444,0.32262367398735936,40,0.04121154424149587,0.4986186713776128,0.6029701437797811,0.2336790345602358,0.3048750931108372,0.009354110870730351,0.1787914598001934,0.07138784227195549,0.29962410805657796,0.16534410867174923,0.1643293582807297
1976-1977,United Kingdom,40,0.041763851180172055,0.5350006441992313,0.5785371701357015,0.2838358791390916,0.3428880370537802,0.008510448971218275,0.14967829214813713,0.07145936729020444,0.32262367398735936,40,0.041513107408517,0.5038570721608561,0.6029701437797811,0.24525923396210517,0.3048750931108372,0.009354110870730351,0.1787914598001934,0.07138784227195549,0.29962410805657796,40,0.04123677622296495,0.49772422155496227,0.6026156928061304,0.2218088406693532,0.31953177445011666,0.010195038201017182,0.18713031878804792,0.07143369049078119,0.26631756209814,0.1643293582807297,0.16560372296780398
1977-1978,United Kingdom,40,0.04181571093185338,0.5269207471849658,0.6029701437797811,0.25234787367640044,0.3048750931108372,0.009354110870730351,0.1787914598001934,0.07138784227195549,0.29962410805657796,40,0.0415384970826354,0.5029532254043951,0.6026156928061304,0.23280080068357717,0.31953177445011666,0.010195038201017182,0.18713031878804792,0.07143369049078119,0.26631756209814,40,0.0412340147109043,0.5091965934320325,0.6026544653531458,0.20730213991935048,0.3181281155823441,0.01019569415406104,0.1941056003356771,0.07143061170917069,0.26015834034613433,0.16560372296780398,0.1657284370692047
1978-1979,United Kingdom,40,0.04184125771409172,0.5259755275292952,0.6026156928061304,0.23952935876714485,0.31953177445011666,0.010195038201017182,0.18713031878804792,0.07143369049078119,0.26631756209814,40,0.041535718311916194,0.5145461240191835,0.6026544653531458,0.21757520579887205,0.3181281155823441,0.01019569415406104,0.1941056003356771,0.07143061170917069,0.26015834034613433,40,0.041219987450194014,0.5206899182504056,0.6028514898183379,0.20314762869307976,0.3137428057110151,0.01098887430713892,0.20720842458052474,0.07140250540748506,0.2651470239763199,0.1657284370692047,0.17477675346167648
1979-1980,United Kingdom,40,0.041838461748687716,0.538099082278555,0.6026544653531458,0.22386370397183034,0.3181281155823441,0.01019569415406104,0.1941056003356771,0.07143061170917069,0.26015834034613433,40,0.04152160338484855,0.5261601957032211,0.6028514898183379,0.21321481359355646,0.3137428057110151,0.01098887430713892,0.20720842458052474,0.07140250540748506,0.2651470239763199,40,0.041216878079155556,0.5397121446485409,0.6280158134872318,0.20929705794245498,0.2999412949605886,0.014825362441243752,0.21381703419309586,0.07144027047848059,0.2732545611548695,0.17477675346167648,0.15980075928274443
1980-1981,United Kingdom,40,0.0418242594802212,0.5502447792782373,0.6028514898183379,0.2193772849137958,0.3137428057110151,0.01098887430713892,0.20720842458052474,0.07140250540748506,0.2651470239763199,40,0.04151847458113267,0.5453822662936882,0.6280158134872318,0.21966898398947687,0.2999412949605886,0.014825362441243752,0.21381703419309586,0.07144027047848059,0.2732545611548695,40,0.04123547938028453,0.554647206457435,0.6277436461322751,0.21215292185520668,0.32575756239778936,0.021533660774145102,0.23382952030350015,0.07192901407175245,0.27942040616581637,0.15980075928274443,0.15561380050735954
1981-1982,United Kingdom,40,0.04182111131586023,0.5703467255594192,0.6280158134872318,0.22601799788286317,0.2999412949605886,0.014825362441243752,0.21381703419309586,0.07144027047848059,0.2732545611548695,40,0.04153719213506008,0.5604742332566981,0.6277436461322751,0.22266637310852916,0.32575756239778936,0.021533660774145102,0.23382952030350015,0.07192901407175245,0.27942040616581637,40,0.04128214740841224,0.5447441920336645,0.6270618540350558,0.19447442874261162,0.30130354184253294,0.01382471157181097,0.231559108669854,0.0712594209075958,0.23643010311311013,0.15561380050735954,0.1527073384043142
1982-1983,United Kingdom,40,0.04183994469166443,0.5861295158545631,0.6277436461322751,0.22910201946506586,0.32575756239778936,0.021533660774145102,0.23382952030350015,0.07192901407175245,0.27942040616581637,40,0.04158415182498231,0.5504671794908577,0.6270618540350558,0.20411180450309543,0.30130354184253294,0.01382471157181097,0.231559108669854,0.0712594209075958,0.23643010311311013,40,0.041335180645554886,0.5368234104181598,0.6262888655680232,0.16698251513459555,0.3017377795317134,0.013719952759503898,0.23437045858056588,0.07121138305005158,0.21491456109172027,0.1527073384043142,0.1522537195345395
1983-1984,United Kingdom,40,0.041887194962259816,0.5756643967984721,0.6270618540350558,0.21001117481500248,0.30130354184253294,0.01382471157181097,0.231559108669854,0.0712594209075958,0.23643010311311013,40,0.041637516504650696,0.542463183525389,0.6262888655680232,0.1752575014872366,0.3017377795317134,0.013719952759503898,0.23437045858056588,0.07121138305005158,0.21491456109172027,40,0.04137659112088647,0.5448013362697989,0.6507140733228637,0.16994406369691079,0.28222956612242905,0.012899165335452876,0.2438315548455839,0.07107784194693612,0.21580315662522662,0.1522537195345395,0.14906369849256282
1984-1985,United Kingdom,40,0.04194088985587481,0.5672940239931387,0.6262888655680232,0.18032290622328226,0.3017377795317134,0.013719952759503898,0.23437045858056588,0.07121138305005158,0.21491456109172027,40,0.04167918578357933,0.5505249240743687,0.6507140733228637,0.1783658125648732,0.28222956612242905,0.012899165335452876,0.2438315548455839,0.07107784194693612,0.21580315662522662,40,0.041415865620038544,0.564015599623689,0.6501211457975526,0.17549907754218738,0.28483301117299326,0.012289993366765107,0.2536733986906015,0.07131563105310267,0.20576142620304747,0.14906369849256282,0.15493841371953
1985-1986,United Kingdom,40,0.04198281697907672,0.5757247845964621,0.6507140733228637,0.18352105570167293,0.28222956612242905,0.012899165335452876,0.2438315548455839,0.07107784194693612,0.21580315662522662,40,0.04171870573708979,0.5699410491273491,0.6501211457975526,0.1841961107039655,0.28483301117299326,0.012289993366765107,0.2536733986906015,0.07131563105310267,0.20576142620304747,40,0.041466698801716294,0.5777094711761446,0.649355319187401,0.17637488443324903,0.204320962846377,0.0110700840447607,0.25973964624092705,0.07176594247809305,0.26205422964671937,0.15493841371953,0.15673617942124765
1986-1987,United Kingdom,40,0.04202258147710426,0.5960296680358813,0.6501211457975526,0.18951986485772998,0.28483301117299326,0.012289993366765107,0.2536733986906015,0.07131563105310267,0.20576142620304747,40,0.041769856611577456,0.5837787861055976,0.649355319187401,0.18511531908568765,0.204320962846377,0.0110700840447607,0.25973964624092705,0.07176594247809305,0.26205422964671937,40,0.04152375072547096,0.5977475932831179,0.6484979502041792,0.17434894746514154,0.26927530891932566,0.008620387983956486,0.28109165146446585,0.0712603633196925,0.22545749204090113,0.15673617942124765,0.16121086559819955
1987-1988,United Kingdom,40,0.042074048866789664,0.610500816920738,0.649355319187401,0.19046564078977482,0.204320962846377,0.0110700840447607,0.25973964624092705,0.07176594247809305,0.26205422964671937,40,0.041827265093496886,0.6040274252280086,0.6484979502041792,0.18298898477508663,0.26927530891932566,0.008620387983956486,0.28109165146446585,0.0712603633196925,0.22545749204090113,40,0.04158391812305316,0.6236463518486213,0.6725037583359321,0.17510712684965035,0.285164727622047,0.006559759120634714,0.28154855629518827,0.07131044433418428,0.22031662530973403,0.16121086559819955,0.15778660593969707
1988-1989,United Kingdom,40,0.04213181258519701,0.6316763221291939,0.6484979502041792,0.1882778498008808,0.26927530891932566,0.008620387983956486,0.28109165146446585,0.0712603633196925,0.22545749204090113,40,0.04188780852006198,0.6301982716332627,0.6725037583359321,0.1837847365009547,0.285164727622047,0.006559759120634714,0.28154855629518827,0.07131044433418428,0.22031662530973403,40,0.04166356562339248,0.6526609987139708,0.6712681553195772,0.1865078487827732,0.297024743426457,0.006892502579479777,0.2790637032919181,0.07519842252436096,0.21162392980580128,0.15778660593969707,0.15931097492166763
1989-1990,United Kingdom,40,0.04219273064689439,0.6590451191635978,0.6725037583359321,0.18909660085360633,0.285164727622047,0.006559759120634714,0.28154855629518827,0.07131044433418428,0.22031662530973403,40,0.041967953794440814,0.6595177413173107,0.6712681553195772,0.19575043266704323,0.297024743426457,0.006892502579479777,0.2790637032919181,0.07519842252436096,0.21162392980580128,40,0.041759934765822807,0.684241672197057,0.6697791997309764,0.21473209010161795,0.2854861187111313,0.0,0.27418162075264585,0.07244104671295645,0.22503624192005933,0.15931097492166763,0.16301112142773086
